eps,mu,ra,fn
71.451,29.394,0.72945,0.53451
156.3,25.738,0.65996,1.685
155.67,36.857,0.4481,0.12972
88.48,39.65,0.42122,1.7411
122.21,30.802,0.82533,0.24833
33.654,23.909,0.35156,1.3712
29.711,16,0.82381,1.0504
115.54,33.444,0.79962,0.51419
160.25,20.486,0.85965,1.1861
188.12,11.778,0.53035,0.33216
43.383,40.197,0.65388,1.3752
122.39,19.711,0.95335,1.2392
104.49,27.696,0.47177,0.20635
22.142,37.512,0.10702,0.20705
80.682,24.369,0.87341,0.38975
49.193,39.454,0.64963,0.13728
162.97,25.788,0.38732,0.92683
76.019,37.337,0.99715,1.6812
115.14,38.162,0.26296,1.273
49.817,27.692,0.66983,1.0882
128.36,10.783,0.62474,1.7413
67.335,23.234,0.41788,0.28563
137.73,26.972,0.18508,1.8253
144.06,20.811,0.073878,0.30523
154.67,17.882,0.45006,1.0823
101.1,42.869,0.2249,0.372
35.088,27.197,0.73949,1.1628
61.216,45.511,0.40184,0.1087
184.4,25.647,0.84948,1.5567
47.428,40.765,0.74752,1.7125
168.65,25.872,0.59247,1.842
116.9,42.341,0.21801,1.9752
199.3,40.203,0.95951,1.0598
34.072,25.096,0.30206,0.6157
99.682,18.641,0.92835,0.29143
39.197,41.616,0.26258,1.0649
193.14,47.972,0.40489,1.2127
20.834,23.103,0.13313,1.5495
159.48,36.851,0.65811,0.25763
167.11,27.546,0.22159,1.357
176.37,43.34,0.092799,1.0823
35.198,40.754,0.73701,0.42499
91.961,16.69,0.38007,1.8833
66.777,44.479,0.67759,1.2219
164.01,49.595,0.41468,0.93721
97.654,30.577,0.64598,1.8896
183.92,45.371,0.070567,1.3462
52.732,33.521,0.91504,0.9587
67.485,16.19,0.81053,1.6954
46.197,17.995,0.75856,1.112
44.492,26.278,0.82246,1.1524
176.47,39.948,0.41414,1.3921
124.35,43.023,0.63642,0.79766
118.97,41.599,0.59672,0.55465
46.092,22.741,0.55355,1.2
173.55,31.363,0.31132,1.7471
131.97,13.598,0.2862,0.87288
83.171,14.468,0.47906,0.31397
112.38,15.452,0.26633,0.94331
92.325,37.146,0.81423,0.67035
33.674,29.807,0.9868,0.86264
63.185,17.588,0.078492,1.6834
42.197,29.8,0.55888,0.86689
53.103,15.904,0.13272,0.84133
63.191,12.199,0.81199,0.78485
95.108,44.029,0.98969,0.36649
28.938,32.422,0.1136,0.59425
182.49,47.184,0.94243,0.26495
190.06,37.867,0.067269,0.91585
108.36,33.312,0.69965,0.58884
108.07,42.616,0.79455,0.66536
80.789,45.161,0.55743,0.90723
182.01,49.556,0.89109,0.32649
86.464,10.021,0.90405,1.0406
40.016,44.618,0.64464,1.4422
160.45,34.503,0.18098,0.56279
90.153,49.598,0.25691,1.5916
63.504,31.107,0.22303,0.24077
92.704,29.181,0.089729,0.84838
37.362,42.054,0.15159,0.10645
43.755,19.114,0.63562,0.51929
189.57,29.924,0.94268,0.10247
192.1,46.034,0.38673,0.45944
123.54,32.986,0.4401,0.37072
30.76,43.807,0.98513,0.60934
62.26,39.546,0.9483,0.43229
83.569,33.439,0.69281,0.36343
167.81,19.869,0.98889,1.2379
22.773,36.657,0.77849,1.812
27.744,13.339,0.36986,1.8848
50.418,35.038,0.67926,0.52025
136.84,36.438,0.28196,1.0171
151.71,39.19,0.33073,0.81442
136.59,45.63,0.69617,1.0952
101.17,49.292,0.55145,0.60326
118.46,40.761,0.44101,0.22988
73.338,33.258,0.62251,0.92902
154.04,47.133,0.76299,0.43032
54.012,33.204,0.60436,0.1496
143.62,10.679,0.5742,1.9139
53.032,14.834,0.60439,0.91813
86.327,44.508,0.53623,1.927
132.61,29.372,0.12846,1.5486
160.44,43.794,0.73359,0.11396
34.603,18.376,0.99635,1.3921
187.29,32.092,0.38681,1.4413
159.63,35.195,0.9727,1.3257
107.62,11.28,0.37913,1.1494
98.455,34.589,0.89222,0.51441
100.42,24.496,0.48196,1.5675
75.143,11.981,0.44276,0.53325
111.53,29.583,0.25685,0.80464
111.94,17.7,0.16937,1.7928
167.17,14.923,0.34347,1.7271
163.07,18.22,0.7398,0.86462
135.98,15.861,0.79373,0.70424
88.15,17.563,0.7091,1.2564
166.08,11.706,0.059312,1.8294
115.91,35.408,0.85105,1.8273
83.131,21.275,0.92622,1.224
189.02,31.544,0.78241,0.73189
177.67,37.807,0.090527,1.7208
119.03,29.965,0.40928,0.94056
132.05,31.432,0.71912,1.8183
125.67,27.807,0.74304,0.16304
57.394,14.957,0.26306,1.1116
74.224,29.614,0.3056,1.4613
104.77,44.12,0.68938,0.44067
61.488,44.957,0.50362,0.73941
171.98,20.812,0.64253,0.45665
55.058,18.338,0.27462,0.71166
60.666,32.599,0.21827,0.86733
50.727,35.612,0.83816,1.1423
60.98,26.681,0.77858,0.1926
98.426,18.239,0.93775,1.1502
75.998,47.917,0.15249,0.62214
186.21,13.283,0.22312,0.55885
97.437,14.228,0.14414,0.56198
53.267,15.682,0.51528,0.3929
182.88,16.658,0.23358,1.9172
196.35,34.838,0.9011,1.8778
98.997,32.948,0.14414,1.6556
40.001,12.083,0.091957,1.4837
66.452,47.248,0.57943,0.43404
93.57,39.146,0.78387,0.7847
127.08,39.514,0.34634,0.4587
67.198,12.536,0.22003,0.10228
128.51,44.418,0.37201,0.7012
148.02,47.376,0.24964,1.4293
59.914,49.376,0.53464,1.288
41.135,44.358,0.91105,1.1318
73.402,41.422,0.64748,0.93417
77.38,30.535,0.14646,0.64611
96.35,17.104,0.42131,1.0532
111.41,25.944,0.10189,1.5469
35.393,15.357,0.52622,1.5486
67.247,11.236,0.46014,1.1945
164.18,47.566,0.99768,1.5206
25.26,22.052,0.82102,1.3265
187.19,21.821,0.51137,0.33412
151.46,23.317,0.89973,1.0584
107.95,28.683,0.18067,0.7598
124.13,35.928,0.4205,0.27508
62.711,11.009,0.93099,0.38091
102.59,43.688,0.92162,0.47652
193.36,32.361,0.7279,1.3773
118.43,44.164,0.63742,0.91987
113.8,23.915,0.37612,1.4194
61.687,27.841,0.93923,0.58789
108,12.17,0.16854,0.11854
132.33,17.084,0.74406,1.1113
142.24,36.512,0.66415,0.63084
91.193,23.233,0.84149,1.8978
86.139,45.939,0.42837,1.8222
197.84,14.726,0.76233,0.8461
26.793,49.537,0.84346,0.14722
179.33,31.599,0.35634,1.3757
184.39,38.277,0.57465,1.6906
163.31,49.98,0.98017,1.9458
37.768,21.514,0.57184,0.20817
67.137,26.581,0.3639,0.95562
80.364,28.594,0.6385,1.2067
142.35,40.558,0.3926,1.4046
44.58,42.728,0.76868,1.4669
149.82,14.009,0.44321,1.3351
39.217,17.125,0.51773,1.4811
137.68,24.385,0.71001,0.81031
108.95,12.268,0.9741,1.205
160.23,30.875,0.36137,0.32063
148.71,23.434,0.84591,0.20954
182.67,17.027,0.75212,1.9616
180.37,18.358,0.95647,0.64117
80.149,46.206,0.080326,1.2305
145.77,37.016,0.38903,1.9281
55.606,28.739,0.67952,0.45298
25.497,46.485,0.31743,0.46678
153.93,14.16,0.26886,0.74912
110,39.822,0.72557,1.8725
106.39,39.451,0.64334,0.84227
182.85,32.474,0.61108,0.61911
129.78,17.368,0.67742,0.3887
131.18,33.888,0.095177,0.85451
174.7,21.997,0.38135,0.81197
164.99,15.365,0.47877,0.34912
123.81,18.504,0.27886,0.92658
52.926,45.798,0.72929,0.27388
63.188,12.858,0.86337,1.2678
179.57,19.699,0.31743,0.12086
25.161,12.15,0.7445,1.1892
108.18,27.669,0.18087,1.6005
50.227,10.531,0.84489,0.5472
196.16,45.888,0.18167,0.95124
148.29,17.866,0.6088,1.1818
110.08,13.735,0.39785,0.21666
104.8,22.295,0.81642,1.0429
30.731,28.242,0.52859,1.3204
142.75,14.067,0.51511,0.5204
27.638,49.816,0.8832,1.6904
32.86,23.284,0.38548,1.945
113.9,21.894,0.47697,1.7081
37.411,12.482,0.96535,1.0614
167.27,21.93,0.090183,0.62986
167.16,11.854,0.97431,1.5186
150.04,30.217,0.22975,0.55017
46.976,40.457,0.68376,1.919
138.73,35.243,0.60712,1.2785
113.35,13.596,0.69136,1.2405
195.14,13.234,0.39297,0.42795
136.82,41.09,0.63926,0.27166
164.06,46.205,0.82059,0.585
101.68,31.351,0.068295,1.7313
97.83,14.366,0.12968,1.831
168.56,43.032,0.97606,1.4293
35.025,23.524,0.66878,1.4778
43.971,21.759,0.26968,0.53678
51.21,39.853,0.43332,1.1945
90.369,10.413,0.16592,1.6402
169.65,11.938,0.30502,0.8673
164.61,36.717,0.29495,1.978
30.885,34.139,0.36508,0.271
91.866,31.044,0.19462,0.70979
114.84,39.188,0.38061,1.0717
95.024,38.29,0.16558,0.21515
138.23,41.255,0.88995,1.4788
133.04,21.519,0.13956,1.1575
72.557,37.701,0.93354,1.1058
97.697,32.267,0.42907,1.677
22.788,25.861,0.095031,1.7316
197.13,12.464,0.37525,1.5992
50.09,41.207,0.74917,0.70388
39.119,23.503,0.80495,0.95919
87.034,34.315,0.56766,1.5292
55.661,39.65,0.70191,0.30874
108.14,14.193,0.89895,0.30851
81.109,15.116,0.10205,0.61278
191.29,31.982,0.33848,1.0968
185.66,29.409,0.093882,1.948
29.482,45.619,0.2357,1.4498
152.81,41.958,0.73416,0.69253
68.441,39.374,0.73567,0.65377
96.11,12.053,0.88391,1.7157
118.62,12.915,0.60331,1.8321
189.69,13.541,0.11715,1.3146
95.194,41.934,0.92661,0.5852
196.95,47.72,0.81035,0.26847
74.262,37.349,0.32165,1.6927
146.2,15.283,0.56648,1.211
139.94,38.909,0.98554,1.9014
117.04,14.414,0.72989,0.21595
145.66,14.7,0.84702,1.2108
139.98,35.629,0.4616,0.64171
52.064,23.153,0.49709,1.6727
43.043,36.152,0.58268,0.46287
199.83,39.965,0.30564,0.94081
50.802,33.327,0.76157,0.84748
25.868,39.601,0.52869,1.6705
121.02,19.393,0.66447,1.3861
178.74,39.398,0.34236,0.49445
140.45,48.824,0.18179,0.7044
54.278,44.677,0.50179,0.35424
86.405,13.449,0.39434,1.3758
102.93,24.657,0.79871,1.1849
196.69,24.768,0.79128,0.42256
48.153,37.401,0.68509,0.38055
173.99,33.918,0.17683,1.0046
136.06,41.575,0.070478,1.8254
87.729,24.706,0.58185,1.1491
54.366,18.241,0.33578,0.16259
97.086,13.467,0.94244,0.20234
106.76,40.877,0.98186,1.6296
41.71,18.227,0.32229,0.95761
126.11,25.531,0.81078,0.82703
60.714,32.071,0.90131,1.6003
89.231,19.158,0.61765,0.79215
124.94,35.678,0.88982,1.1115
65.325,29.379,0.94654,1.4521
72.279,16.074,0.5717,1.7558
131.08,41.277,0.74197,0.72451
67.751,14.024,0.59792,1.3352
168.39,21.763,0.074565,1.9522
196.88,19.495,0.4742,0.24434
151.44,31.235,0.66399,1.2153
81.898,13.66,0.54514,0.88638
125.13,26.213,0.4037,0.68736
39.398,14.194,0.94028,0.60128
183.14,14.491,0.83806,1.5417
178.34,41.377,0.85663,1.9909
167.2,21.663,0.40391,0.45449
66.931,34.141,0.61353,1.5842
126.98,48.577,0.87892,0.47202
24.052,27.299,0.93683,1.9855
96.547,37.79,0.68504,1.6243
76.289,40.324,0.24644,0.90603
49.067,27.306,0.67116,1.4848
52.178,36.22,0.11845,1.0469
96.119,14.39,0.43639,1.6371
36.961,47.35,0.68358,0.77737
127.73,17.498,0.93704,0.23916
104.77,20.647,0.8204,1.2229
145.27,41.913,0.51032,1.8294
145.98,29.504,0.76891,0.46816
134.94,40.758,0.4462,0.9215
26.049,25.84,0.9732,1.5234
32.385,20.918,0.98858,0.17445
77.528,11.489,0.87094,1.898
115.56,36.932,0.41944,1.551
137.8,27.183,0.482,1.1618
93.371,28.07,0.28435,0.4493
167.6,34.394,0.7952,1.0461
149.3,12.376,0.8887,1.0839
194.36,22.632,0.91803,1.9891
115.64,40.909,0.58037,1.7242
78.526,37.857,0.61892,1.9286
39.013,15.013,0.19143,1.39
129.97,15.206,0.90473,0.86665
160.18,13.694,0.47787,1.8765
96.222,10.313,0.24539,1.011
36.348,26.924,0.90467,0.5404
67.965,36.223,0.77446,0.85295
