eps,mu,ra,fn
2,1,0.1,0.5
2,1,0.2,0.5
2,1,0.3,0.5
2,1,0.4,0.5
2,1,0.5,0.5
2,1,0.6,0.5
2,1,0.7,0.5
2,1,0.8,0.5
2,1,0.9,0.5
2,1,1,0.5
2,1,1.1,0.5
2,1,1.2,0.5
2,1,1.3,0.5
2,1,1.4,0.5
2,1,1.5,0.5
2,1,1.6,0.5
2,1,1.7,0.5
2,1,1.8,0.5
2,1,1.9,0.5
2,1,2,0.5
4,1,0.1,0.5
4,1,0.2,0.5
4,1,0.3,0.5
4,1,0.4,0.5
4,1,0.5,0.5
4,1,0.6,0.5
4,1,0.7,0.5
4,1,0.8,0.5
4,1,0.9,0.5
4,1,1,0.5
4,1,1.1,0.5
4,1,1.2,0.5
4,1,1.3,0.5
4,1,1.4,0.5
4,1,1.5,0.5
4,1,1.6,0.5
4,1,1.7,0.5
4,1,1.8,0.5
4,1,1.9,0.5
4,1,2,0.5
6,1,0.1,0.5
6,1,0.2,0.5
6,1,0.3,0.5
6,1,0.4,0.5
6,1,0.5,0.5
6,1,0.6,0.5
6,1,0.7,0.5
6,1,0.8,0.5
6,1,0.9,0.5
6,1,1,0.5
6,1,1.1,0.5
6,1,1.2,0.5
6,1,1.3,0.5
6,1,1.4,0.5
6,1,1.5,0.5
6,1,1.6,0.5
6,1,1.7,0.5
6,1,1.8,0.5
6,1,1.9,0.5
6,1,2,0.5
8,1,0.1,0.5
8,1,0.2,0.5
8,1,0.3,0.5
8,1,0.4,0.5
8,1,0.5,0.5
8,1,0.6,0.5
8,1,0.7,0.5
8,1,0.8,0.5
8,1,0.9,0.5
8,1,1,0.5
8,1,1.1,0.5
8,1,1.2,0.5
8,1,1.3,0.5
8,1,1.4,0.5
8,1,1.5,0.5
8,1,1.6,0.5
8,1,1.7,0.5
8,1,1.8,0.5
8,1,1.9,0.5
8,1,2,0.5
10,1,0.1,0.5
10,1,0.2,0.5
10,1,0.3,0.5
10,1,0.4,0.5
10,1,0.5,0.5
10,1,0.6,0.5
10,1,0.7,0.5
10,1,0.8,0.5
10,1,0.9,0.5
10,1,1,0.5
10,1,1.1,0.5
10,1,1.2,0.5
10,1,1.3,0.5
10,1,1.4,0.5
10,1,1.5,0.5
10,1,1.6,0.5
10,1,1.7,0.5
10,1,1.8,0.5
10,1,1.9,0.5
10,1,2,0.5
